time 00h 26m 24s, episodes 8131, frames 1.475017M, mean epr -38.16, run loss 1135.01
time 00h 26m 29s, episodes 8164, frames 1.480265M, mean epr 47.13, run loss 731.54
time 00h 26m 35s, episodes 8178, frames 1.485288M, mean epr -34.32, run loss 2616.55
time 00h 26m 40s, episodes 8187, frames 1.489998M, mean epr -42.70, run loss 2310.26
time 00h 26m 45s, episodes 8206, frames 1.494830M, mean epr 201.74, run loss 3197.79
time 00h 26m 50s, episodes 8231, frames 1.499660M, mean epr -31.80, run loss 2767.42
time 00h 26m 55s, episodes 8248, frames 1.504363M, mean epr -98.21, run loss 982.02
time 00h 27m 00s, episodes 8277, frames 1.509211M, mean epr 14.19, run loss 2393.18
time 00h 27m 05s, episodes 8292, frames 1.513947M, mean epr -236.30, run loss 1459.86
time 00h 27m 10s, episodes 8312, frames 1.518555M, mean epr -47.45, run loss 1764.90
time 00h 27m 15s, episodes 8336, frames 1.523272M, mean epr -249.55, run loss 2923.56
time 00h 27m 21s, episodes 8353, frames 1.528150M, mean epr 33.76, run loss 2138.64
