time 00h 32m 01s, episodes 3130, frames 0.3M, mean epr -456.51, run loss 2025.31
time 00h 32m 11s, episodes 3144, frames 0.3M, mean epr -459.82, run loss 2038.65
time 00h 32m 21s, episodes 3162, frames 0.3M, mean epr -465.67, run loss 2077.45
time 00h 32m 32s, episodes 3181, frames 0.3M, mean epr -466.82, run loss 2109.13
time 00h 32m 42s, episodes 3198, frames 0.3M, mean epr -471.01, run loss 2123.35
time 00h 32m 52s, episodes 3215, frames 0.3M, mean epr -468.54, run loss 2104.14
time 00h 33m 03s, episodes 3235, frames 0.4M, mean epr -478.77, run loss 2194.62
time 00h 33m 13s, episodes 3249, frames 0.4M, mean epr -484.06, run loss 2226.79
time 00h 33m 23s, episodes 3268, frames 0.4M, mean epr -486.83, run loss 2211.96
time 00h 33m 34s, episodes 3286, frames 0.4M, mean epr -485.12, run loss 2181.14
time 00h 33m 44s, episodes 3304, frames 0.4M, mean epr -487.19, run loss 2168.90
time 00h 33m 55s, episodes 3320, frames 0.4M, mean epr -485.52, run loss 2188.81
time 00h 34m 05s, episodes 3338, frames 0.4M, mean epr -479.70, run loss 2166.01
time 00h 34m 15s, episodes 3356, frames 0.4M, mean epr -484.19, run loss 2176.42
time 00h 34m 25s, episodes 3376, frames 0.4M, mean epr -489.84, run loss 2200.77
time 00h 34m 36s, episodes 3394, frames 0.4M, mean epr -478.04, run loss 2134.74
time 00h 34m 46s, episodes 3411, frames 0.4M, mean epr -461.76, run loss 2065.84
time 00h 34m 57s, episodes 3430, frames 0.4M, mean epr -457.80, run loss 2032.40
time 00h 35m 07s, episodes 3443, frames 0.4M, mean epr -463.82, run loss 2063.79
time 00h 35m 17s, episodes 3458, frames 0.4M, mean epr -452.99, run loss 2016.70
time 00h 35m 28s, episodes 3475, frames 0.4M, mean epr -450.60, run loss 2036.38
time 00h 35m 38s, episodes 3491, frames 0.4M, mean epr -450.63, run loss 2012.39
time 00h 35m 48s, episodes 3505, frames 0.4M, mean epr -449.02, run loss 1994.91
time 00h 35m 58s, episodes 3520, frames 0.4M, mean epr -440.82, run loss 1947.02
time 00h 36m 09s, episodes 3537, frames 0.4M, mean epr -447.68, run loss 1956.30
time 00h 36m 19s, episodes 3554, frames 0.4M, mean epr -434.22, run loss 1899.51
time 00h 36m 29s, episodes 3571, frames 0.4M, mean epr -424.93, run loss 1880.50
time 00h 36m 40s, episodes 3587, frames 0.4M, mean epr -424.97, run loss 1875.70
time 00h 36m 50s, episodes 3604, frames 0.4M, mean epr -427.26, run loss 1899.10
time 00h 37m 01s, episodes 3620, frames 0.4M, mean epr -431.56, run loss 1980.29
time 00h 37m 11s, episodes 3640, frames 0.4M, mean epr -428.80, run loss 1954.37
time 00h 37m 22s, episodes 3654, frames 0.4M, mean epr -436.82, run loss 2006.88
time 00h 37m 32s, episodes 3671, frames 0.4M, mean epr -442.45, run loss 2020.89
time 00h 37m 42s, episodes 3686, frames 0.4M, mean epr -442.82, run loss 2074.76
time 00h 37m 52s, episodes 3704, frames 0.4M, mean epr -446.97, run loss 2082.72
time 00h 38m 03s, episodes 3718, frames 0.4M, mean epr -449.09, run loss 2113.44
time 00h 38m 13s, episodes 3736, frames 0.4M, mean epr -470.00, run loss 2175.05
