
time 00h 18m 22s, episodes 896, frames 0.177046M, mean epr -129.29, run loss -5807.82
time 00h 18m 27s, episodes 896, frames 0.177902M, mean epr -129.29, run loss -5807.82
time 00h 18m 33s, episodes 896, frames 0.178739M, mean epr -129.29, run loss -5807.82
time 00h 18m 38s, episodes 896, frames 0.179574M, mean epr -129.29, run loss -5807.82
time 00h 18m 43s, episodes 896, frames 0.180438M, mean epr -129.29, run loss -5807.82
time 00h 18m 49s, episodes 896, frames 0.181282M, mean epr -129.29, run loss -5807.82
time 00h 18m 54s, episodes 897, frames 0.182104M, mean epr -475.82, run loss -129125.80
time 00h 18m 59s, episodes 899, frames 0.183028M, mean epr -115.31, run loss -2847.88
time 00h 19m 04s, episodes 900, frames 0.183830M, mean epr -116.32, run loss -2667.83
time 00h 19m 09s, episodes 901, frames 0.184666M, mean epr -110.03, run loss -4058.29
time 00h 19m 14s, episodes 903, frames 0.185483M, mean epr -115.61, run loss -1877.05
time 00h 19m 20s, episodes 905, frames 0.186366M, mean epr -118.96, run loss -3617.58
time 00h 19m 25s, episodes 907, frames 0.187179M, mean epr -118.88, run loss -2451.87
time 00h 19m 30s, episodes 908, frames 0.188009M, mean epr -117.59, run loss -3121.76
time 00h 19m 35s, episodes 909, frames 0.188819M, mean epr -120.54, run loss -5278.29
time 00h 19m 40s, episodes 910, frames 0.189728M, mean epr -122.66, run loss -3669.42
time 00h 19m 45s, episodes 911, frames 0.190524M, mean epr -118.17, run loss -3505.00
time 00h 19m 51s, episodes 913, frames 0.191349M, mean epr -111.69, run loss -2537.35
time 00h 19m 56s, episodes 914, frames 0.192185M, mean epr -109.08, run loss -1240.45
time 00h 20m 01s, episodes 914, frames 0.193060M, mean epr -109.08, run loss -1240.45
time 00h 20m 06s, episodes 914, frames 0.193863M, mean epr -109.08, run loss -1240.45
time 00h 20m 11s, episodes 914, frames 0.194712M, mean epr -109.08, run loss -1240.45
time 00h 20m 17s, episodes 914, frames 0.195606M, mean epr -109.08, run loss -1240.45
time 00h 20m 22s, episodes 915, frames 0.196446M, mean epr -158.21, run loss -16706.93
time 00h 20m 27s, episodes 917, frames 0.197360M, mean epr -489.19, run loss -132016.42
time 00h 20m 32s, episodes 920, frames 0.198179M, mean epr -120.07, run loss -2223.71
time 00h 20m 37s, episodes 921, frames 0.199004M, mean epr -117.84, run loss -3228.88
time 00h 20m 43s, episodes 921, frames 0.199913M, mean epr -117.84, run loss -3228.88
time 00h 20m 48s, episodes 921, frames 0.200721M, mean epr -117.84, run loss -3228.88
time 00h 20m 53s, episodes 921, frames 0.201529M, mean epr -117.84, run loss -3228.88
time 00h 20m 58s, episodes 921, frames 0.202392M, mean epr -117.84, run loss -3228.88
time 00h 21m 03s, episodes 921, frames 0.203261M, mean epr -117.84, run loss -3228.88
time 00h 21m 08s, episodes 921, frames 0.204107M, mean epr -117.84, run loss -3228.88
time 00h 21m 13s, episodes 921, frames 0.204906M, mean epr -117.84, run loss -3228.88
time 00h 21m 19s, episodes 921, frames 0.205675M, mean epr -117.84, run loss -3228.88
time 00h 21m 24s, episodes 921, frames 0.206483M, mean epr -117.84, run loss -3228.88
time 00h 21m 29s, episodes 921, frames 0.207303M, mean epr -117.84, run loss -3228.88
time 00h 21m 34s, episodes 921, frames 0.208212M, mean epr -117.84, run loss -3228.88
time 00h 21m 39s, episodes 922, frames 0.209051M, mean epr -483.14, run loss -132655.90
time 00h 21m 44s, episodes 922, frames 0.209857M, mean epr -483.14, run loss -132655.90
time 00h 21m 49s, episodes 923, frames 0.210652M, mean epr -471.06, run loss -132417.50
time 00h 21m 54s, episodes 923, frames 0.211477M, mean epr -471.06, run loss -132417.50
time 00h 22m 00s, episodes 923, frames 0.212378M, mean epr -471.06, run loss -132417.50
time 00h 22m 05s, episodes 924, frames 0.213191M, mean epr -466.14, run loss -133077.58
time 00h 22m 10s, episodes 925, frames 0.214017M, mean epr -128.54, run loss -5344.88
time 00h 22m 15s, episodes 928, frames 0.214932M, mean epr -470.72, run loss -135070.41
time 00h 22m 20s, episodes 929, frames 0.215744M, mean epr -111.86, run loss -2319.43
time 00h 22m 25s, episodes 930, frames 0.216542M, mean epr -119.01, run loss -6018.99
time 00h 22m 30s, episodes 931, frames 0.217361M, mean epr -110.89, run loss -2857.73
time 00h 22m 36s, episodes 932, frames 0.218247M, mean epr -120.08, run loss -3652.26
time 00h 22m 41s, episodes 934, frames 0.219094M, mean epr -113.05, run loss -2369.73
time 00h 22m 46s, episodes 936, frames 0.219902M, mean epr -115.39, run loss -1967.35
time 00h 22m 52s, episodes 938, frames 0.220835M, mean epr -115.51, run loss -2023.54
time 00h 22m 57s, episodes 938, frames 0.221621M, mean epr -115.51, run loss -2023.54
time 00h 23m 02s, episodes 938, frames 0.222439M, mean epr -115.51, run loss -2023.54
time 00h 23m 07s, episodes 938, frames 0.223228M, mean epr -115.51, run loss -2023.54
time 00h 23m 12s, episodes 938, frames 0.224054M, mean epr -115.51, run loss -2023.54
time 00h 23m 17s, episodes 938, frames 0.224865M, mean epr -115.51, run loss -2023.54
time 00h 23m 22s, episodes 938, frames 0.225713M, mean epr -115.51, run loss -2023.54
time 00h 23m 28s, episodes 939, frames 0.226593M, mean epr -471.50, run loss -133120.46
time 00h 23m 33s, episodes 940, frames 0.227421M, mean epr -115.86, run loss -2383.05
time 00h 23m 38s, episodes 940, frames 0.228258M, mean epr -115.86, run loss -2383.05
time 00h 23m 43s, episodes 942, frames 0.229098M, mean epr -262.67, run loss -48757.25
time 00h 23m 48s, episodes 943, frames 0.229916M, mean epr -117.73, run loss -3589.49
time 00h 23m 53s, episodes 943, frames 0.230722M, mean epr -117.73, run loss -3589.49
time 00h 23m 58s, episodes 943, frames 0.231564M, mean epr -117.73, run loss -3589.49
time 00h 24m 03s, episodes 943, frames 0.232430M, mean epr -117.73, run loss -3589.49
time 00h 24m 08s, episodes 943, frames 0.233266M, mean epr -117.73, run loss -3589.49
time 00h 24m 13s, episodes 943, frames 0.234108M, mean epr -117.73, run loss -3589.49
time 00h 24m 19s, episodes 943, frames 0.234897M, mean epr -117.73, run loss -3589.49
time 00h 24m 24s, episodes 943, frames 0.235803M, mean epr -117.73, run loss -3589.49
time 00h 24m 29s, episodes 944, frames 0.236611M, mean epr -477.81, run loss -135206.71
time 00h 24m 34s, episodes 945, frames 0.237451M, mean epr -470.80, run loss -138041.85
time 00h 24m 39s, episodes 945, frames 0.238271M, mean epr -470.80, run loss -138041.85
time 00h 24m 45s, episodes 946, frames 0.239173M, mean epr -453.13, run loss -133406.47
time 00h 24m 50s, episodes 946, frames 0.239994M, mean epr -453.13, run loss -133406.47
time 00h 24m 55s, episodes 946, frames 0.240814M, mean epr -453.13, run loss -133406.47
time 00h 25m 00s, episodes 946, frames 0.241633M, mean epr -453.13, run loss -133406.47
time 00h 25m 05s, episodes 946, frames 0.242456M, mean epr -453.13, run loss -133406.47
time 00h 25m 11s, episodes 946, frames 0.243382M, mean epr -453.13, run loss -133406.47
time 00h 25m 16s, episodes 946, frames 0.244197M, mean epr -453.13, run loss -133406.47
time 00h 25m 21s, episodes 946, frames 0.245022M, mean epr -453.13, run loss -133406.47
time 00h 25m 26s, episodes 946, frames 0.245940M, mean epr -453.13, run loss -133406.47
time 00h 25m 31s, episodes 946, frames 0.246755M, mean epr -453.13, run loss -133406.47
time 00h 25m 36s, episodes 946, frames 0.247566M, mean epr -453.13, run loss -133406.47
time 00h 25m 41s, episodes 946, frames 0.248379M, mean epr -453.13, run loss -133406.47
time 00h 25m 46s, episodes 947, frames 0.249200M, mean epr -475.65, run loss -135191.59
time 00h 25m 51s, episodes 947, frames 0.250008M, mean epr -475.65, run loss -135191.59
time 00h 25m 56s, episodes 949, frames 0.250833M, mean epr -459.18, run loss -134129.39
time 00h 26m 01s, episodes 951, frames 0.251650M, mean epr -121.52, run loss -3272.58
time 00h 26m 07s, episodes 952, frames 0.252532M, mean epr -114.64, run loss -3180.03
time 00h 26m 12s, episodes 952, frames 0.253350M, mean epr -114.64, run loss -3180.03
time 00h 26m 17s, episodes 952, frames 0.254181M, mean epr -114.64, run loss -3180.03
time 00h 26m 22s, episodes 952, frames 0.255055M, mean epr -114.64, run loss -3180.03
time 00h 26m 27s, episodes 952, frames 0.255879M, mean epr -114.64, run loss -3180.03
time 00h 26m 32s, episodes 952, frames 0.256723M, mean epr -114.64, run loss -3180.03
time 00h 26m 37s, episodes 952, frames 0.257545M, mean epr -114.64, run loss -3180.03
time 00h 26m 42s, episodes 952, frames 0.258345M, mean epr -114.64, run loss -3180.03
time 00h 26m 48s, episodes 952, frames 0.259257M, mean epr -114.64, run loss -3180.03
time 00h 26m 53s, episodes 952, frames 0.260055M, mean epr -114.64, run loss -3180.03
time 00h 26m 58s, episodes 953, frames 0.260871M, mean epr -461.14, run loss -135474.42
time 00h 27m 03s, episodes 955, frames 0.261690M, mean epr -114.96, run loss -2222.48
time 00h 27m 08s, episodes 956, frames 0.262476M, mean epr -116.24, run loss -3558.79
time 00h 27m 13s, episodes 957, frames 0.263281M, mean epr -122.09, run loss -4599.04
