time 00h 00m 10s, episodes 19, frames 0.002669M, mean epr -555.20, run loss 2343.91
time 03h 40m 23s, episodes 10666, frames 4.285871M, mean epr -590.60, run loss 2268.12
time 03h 40m 34s, episodes 10669, frames 4.289215M, mean epr -250.33, run loss 973.97
time 03h 40m 45s, episodes 10675, frames 4.292963M, mean epr -339.02, run loss 1816.87
time 03h 40m 55s, episodes 10679, frames 4.296225M, mean epr -144.42, run loss 1347.05
time 03h 41m 05s, episodes 10682, frames 4.299632M, mean epr -115.05, run loss 443.66
time 03h 41m 15s, episodes 10684, frames 4.302883M, mean epr -630.02, run loss 3828.79
time 03h 41m 25s, episodes 10687, frames 4.306200M, mean epr -103.46, run loss 1069.36
time 03h 41m 35s, episodes 10692, frames 4.309464M, mean epr -206.28, run loss 1283.24
time 03h 41m 45s, episodes 10692, frames 4.312674M, mean epr -206.28, run loss 1283.24
time 03h 41m 56s, episodes 10694, frames 4.316215M, mean epr -436.82, run loss 2279.52
time 03h 42m 06s, episodes 10698, frames 4.319586M, mean epr -772.83, run loss 4877.94
time 03h 42m 17s, episodes 10703, frames 4.323185M, mean epr -251.51, run loss 1194.53
time 03h 42m 27s, episodes 10705, frames 4.326516M, mean epr -206.67, run loss 1180.31
time 03h 42m 37s, episodes 10710, frames 4.329906M, mean epr -415.76, run loss 3085.02
time 03h 42m 47s, episodes 10712, frames 4.333177M, mean epr -566.52, run loss 3526.37
time 03h 42m 58s, episodes 10713, frames 4.336601M, mean epr -369.33, run loss 2481.92
time 03h 43m 08s, episodes 10717, frames 4.339919M, mean epr -117.98, run loss 420.99
time 03h 43m 18s, episodes 10719, frames 4.343375M, mean epr -131.20, run loss 919.95
time 03h 43m 29s, episodes 10720, frames 4.346618M, mean epr -176.15, run loss 2414.84
time 03h 43m 40s, episodes 10725, frames 4.350303M, mean epr -147.83, run loss 485.03
time 03h 43m 52s, episodes 10725, frames 4.354260M, mean epr -147.83, run loss 485.03
time 03h 44m 02s, episodes 10727, frames 4.357831M, mean epr -111.48, run loss 533.53
time 03h 44m 12s, episodes 10727, frames 4.360992M, mean epr -111.48, run loss 533.53
time 03h 44m 24s, episodes 10727, frames 4.364845M, mean epr -111.48, run loss 533.53
time 03h 44m 34s, episodes 10728, frames 4.368132M, mean epr -97.67, run loss 589.00
time 03h 44m 46s, episodes 10729, frames 4.371795M, mean epr -263.33, run loss 910.90
time 03h 44m 57s, episodes 10730, frames 4.375578M, mean epr -363.89, run loss 2699.46
time 03h 45m 07s, episodes 10730, frames 4.378803M, mean epr -363.89, run loss 2699.46
time 03h 45m 18s, episodes 10733, frames 4.382108M, mean epr -409.52, run loss 2266.79
time 03h 45m 28s, episodes 10733, frames 4.385371M, mean epr -409.52, run loss 2266.79
time 03h 45m 38s, episodes 10735, frames 4.388567M, mean epr -214.38, run loss 2129.31
time 03h 45m 48s, episodes 10735, frames 4.391663M, mean epr -214.38, run loss 2129.31
time 03h 45m 58s, episodes 10738, frames 4.394750M, mean epr -166.68, run loss 1096.17
time 03h 46m 09s, episodes 10738, frames 4.398252M, mean epr -166.68, run loss 1096.17
time 03h 46m 20s, episodes 10740, frames 4.401071M, mean epr -739.95, run loss 5001.80
time 03h 46m 31s, episodes 10741, frames 4.404481M, mean epr -676.81, run loss 5423.86
time 03h 46m 43s, episodes 10744, frames 4.408215M, mean epr -846.70, run loss 4744.49
time 03h 46m 53s, episodes 10745, frames 4.411420M, mean epr -152.74, run loss 805.61
time 03h 47m 03s, episodes 10747, frames 4.414606M, mean epr -777.57, run loss 5840.18
time 03h 47m 14s, episodes 10751, frames 4.418102M, mean epr -546.93, run loss 4140.10
time 03h 47m 24s, episodes 10753, frames 4.421298M, mean epr -82.62, run loss 638.84
time 03h 47m 35s, episodes 10754, frames 4.424616M, mean epr -86.73, run loss 521.22
time 03h 47m 45s, episodes 10756, frames 4.427968M, mean epr -587.38, run loss 2953.13
time 03h 47m 55s, episodes 10757, frames 4.431269M, mean epr -814.86, run loss 5312.37
time 03h 48m 07s, episodes 10757, frames 4.434763M, mean epr -814.86, run loss 5312.37
time 03h 48m 18s, episodes 10757, frames 4.438098M, mean epr -814.86, run loss 5312.37
time 03h 48m 28s, episodes 10757, frames 4.441274M, mean epr -814.86, run loss 5312.37
time 03h 48m 40s, episodes 10757, frames 4.445068M, mean epr -814.86, run loss 5312.37
time 03h 48m 52s, episodes 10757, frames 4.448688M, mean epr -814.86, run loss 5312.37
time 03h 49m 02s, episodes 10757, frames 4.451968M, mean epr -814.86, run loss 5312.37
time 03h 49m 12s, episodes 10757, frames 4.455032M, mean epr -814.86, run loss 5312.37
time 03h 49m 23s, episodes 10757, frames 4.458145M, mean epr -814.86, run loss 5312.37
time 03h 49m 33s, episodes 10758, frames 4.461185M, mean epr -579.65, run loss 4890.46
time 03h 49m 43s, episodes 10758, frames 4.464410M, mean epr -579.65, run loss 4890.46
time 03h 49m 53s, episodes 10759, frames 4.467498M, mean epr -817.57, run loss 5391.26
time 03h 50m 03s, episodes 10759, frames 4.470547M, mean epr -817.57, run loss 5391.26
time 03h 50m 16s, episodes 10759, frames 4.474362M, mean epr -817.57, run loss 5391.26
time 03h 50m 26s, episodes 10759, frames 4.477591M, mean epr -817.57, run loss 5391.26
time 03h 50m 37s, episodes 10761, frames 4.480791M, mean epr -741.13, run loss 5930.79
time 03h 50m 47s, episodes 10762, frames 4.483886M, mean epr -536.15, run loss 4517.98
time 03h 50m 57s, episodes 10762, frames 4.487096M, mean epr -536.15, run loss 4517.98
time 03h 51m 08s, episodes 10762, frames 4.490451M, mean epr -536.15, run loss 4517.98
time 03h 51m 18s, episodes 10763, frames 4.493480M, mean epr -860.67, run loss 4797.05
time 03h 51m 28s, episodes 10764, frames 4.496480M, mean epr -843.74, run loss 5023.42
time 03h 51m 39s, episodes 10765, frames 4.499843M, mean epr -868.52, run loss 4724.06
time 03h 51m 49s, episodes 10765, frames 4.502945M, mean epr -868.52, run loss 4724.06
time 03h 51m 59s, episodes 10767, frames 4.506029M, mean epr -126.62, run loss 486.18
time 03h 52m 09s, episodes 10768, frames 4.509150M, mean epr -848.41, run loss 5776.87
time 03h 52m 20s, episodes 10768, frames 4.512428M, mean epr -848.41, run loss 5776.87
time 03h 52m 30s, episodes 10768, frames 4.515568M, mean epr -848.41, run loss 5776.87
time 03h 52m 41s, episodes 10769, frames 4.519004M, mean epr -866.18, run loss 6121.38
time 03h 52m 51s, episodes 10769, frames 4.522085M, mean epr -866.18, run loss 6121.38
time 03h 53m 01s, episodes 10771, frames 4.525273M, mean epr -125.00, run loss 619.36
time 03h 53m 13s, episodes 10773, frames 4.528844M, mean epr -855.80, run loss 6343.26
time 03h 53m 23s, episodes 10774, frames 4.532040M, mean epr -838.31, run loss 5066.77
time 03h 53m 34s, episodes 10776, frames 4.535511M, mean epr -103.20, run loss 757.42
time 03h 53m 45s, episodes 10778, frames 4.539124M, mean epr -821.75, run loss 5770.65
time 03h 53m 56s, episodes 10779, frames 4.542399M, mean epr -834.58, run loss 6804.25
time 03h 54m 07s, episodes 10780, frames 4.545943M, mean epr -956.84, run loss 5988.04
time 03h 54m 19s, episodes 10780, frames 4.549698M, mean epr -956.84, run loss 5988.04
time 03h 54m 30s, episodes 10780, frames 4.553176M, mean epr -956.84, run loss 5988.04
time 03h 54m 40s, episodes 10780, frames 4.556490M, mean epr -956.84, run loss 5988.04
time 03h 54m 52s, episodes 10780, frames 4.560148M, mean epr -956.84, run loss 5988.04
time 03h 55m 04s, episodes 10781, frames 4.563765M, mean epr -793.45, run loss 4309.56
time 03h 55m 15s, episodes 10783, frames 4.567522M, mean epr -720.41, run loss 3706.91
time 03h 55m 27s, episodes 10785, frames 4.571105M, mean epr -427.49, run loss 2186.67
time 03h 55m 37s, episodes 10787, frames 4.574242M, mean epr -928.50, run loss 5214.30
time 03h 55m 47s, episodes 10788, frames 4.577585M, mean epr -462.19, run loss 2887.77
time 03h 55m 57s, episodes 10789, frames 4.580791M, mean epr -130.59, run loss 769.83
time 03h 56m 07s, episodes 10790, frames 4.585262M, mean epr -120.54, run loss 424.59
time 03h 56m 18s, episodes 10791, frames 4.590342M, mean epr -881.51, run loss 5812.96
time 03h 56m 28s, episodes 10791, frames 4.595176M, mean epr -881.51, run loss 5812.96
time 03h 56m 38s, episodes 10793, frames 4.599893M, mean epr -914.82, run loss 8054.66
time 03h 56m 48s, episodes 10795, frames 4.605046M, mean epr -820.12, run loss 6271.84
time 03h 56m 58s, episodes 10797, frames 4.609956M, mean epr -859.70, run loss 5656.77
time 03h 57m 09s, episodes 10799, frames 4.615153M, mean epr -696.58, run loss 3926.82
time 03h 57m 19s, episodes 10801, frames 4.620003M, mean epr -133.27, run loss 816.62
time 03h 57m 29s, episodes 10801, frames 4.624951M, mean epr -133.27, run loss 816.62
time 03h 57m 40s, episodes 10806, frames 4.630208M, mean epr -343.27, run loss 2456.57
time 03h 57m 50s, episodes 10806, frames 4.635150M, mean epr -343.27, run loss 2456.57
time 03h 58m 00s, episodes 10807, frames 4.640115M, mean epr -94.49, run loss 351.78
time 03h 58m 10s, episodes 10808, frames 4.645037M, mean epr -967.47, run loss 4993.20
time 03h 58m 20s, episodes 10811, frames 4.649952M, mean epr -892.18, run loss 6295.34
time 03h 58m 30s, episodes 10812, frames 4.654918M, mean epr -870.07, run loss 5381.05
time 03h 58m 41s, episodes 10814, frames 4.659901M, mean epr -970.98, run loss 6066.78
time 03h 58m 51s, episodes 10817, frames 4.665155M, mean epr -940.23, run loss 6163.39
time 03h 59m 02s, episodes 10823, frames 4.670387M, mean epr -892.47, run loss 5916.83
time 03h 59m 12s, episodes 10823, frames 4.675345M, mean epr -892.47, run loss 5916.83
time 03h 59m 23s, episodes 10823, frames 4.680406M, mean epr -892.47, run loss 5916.83
time 03h 59m 34s, episodes 10823, frames 4.685850M, mean epr -892.47, run loss 5916.83
time 03h 59m 44s, episodes 10823, frames 4.690337M, mean epr -892.47, run loss 5916.83
time 03h 59m 54s, episodes 10823, frames 4.695056M, mean epr -892.47, run loss 5916.83
time 04h 00m 04s, episodes 10824, frames 4.699935M, mean epr -941.86, run loss 6589.36
time 04h 00m 15s, episodes 10825, frames 4.705029M, mean epr -946.80, run loss 5772.10
time 04h 00m 25s, episodes 10828, frames 4.709935M, mean epr -100.10, run loss 461.50
time 04h 00m 35s, episodes 10830, frames 4.715179M, mean epr -886.39, run loss 5828.14
time 04h 00m 46s, episodes 10831, frames 4.720472M, mean epr -297.27, run loss 2103.37
time 04h 00m 57s, episodes 10832, frames 4.725466M, mean epr -895.45, run loss 6172.34
time 04h 01m 08s, episodes 10834, frames 4.730776M, mean epr -887.25, run loss 6202.26
time 04h 01m 18s, episodes 10834, frames 4.735819M, mean epr -887.25, run loss 6202.26
time 04h 01m 29s, episodes 10836, frames 4.741192M, mean epr -970.28, run loss 6263.15
time 04h 01m 39s, episodes 10837, frames 4.746274M, mean epr -721.42, run loss 4264.76
time 04h 01m 49s, episodes 10841, frames 4.751357M, mean epr -201.99, run loss 824.36
time 04h 02m 00s, episodes 10843, frames 4.756282M, mean epr -113.84, run loss 745.47
time 04h 02m 10s, episodes 10843, frames 4.761308M, mean epr -113.84, run loss 745.47
time 04h 02m 20s, episodes 10845, frames 4.766128M, mean epr -133.42, run loss 1055.38
time 04h 02m 30s, episodes 10846, frames 4.771015M, mean epr -471.74, run loss 4186.82
time 04h 02m 40s, episodes 10849, frames 4.776156M, mean epr -1018.57, run loss 7246.72
time 04h 02m 51s, episodes 10852, frames 4.781245M, mean epr -919.08, run loss 5889.59
time 04h 03m 01s, episodes 10853, frames 4.786383M, mean epr -911.64, run loss 6120.11
time 04h 03m 12s, episodes 10855, frames 4.791592M, mean epr -483.10, run loss 4368.14
time 04h 03m 22s, episodes 10856, frames 4.796705M, mean epr -674.99, run loss 4898.84
time 04h 03m 32s, episodes 10857, frames 4.801843M, mean epr -566.20, run loss 4674.45
time 04h 03m 42s, episodes 10857, frames 4.806784M, mean epr -566.20, run loss 4674.45
time 04h 03m 52s, episodes 10859, frames 4.811648M, mean epr -584.03, run loss 3927.18
time 04h 04m 03s, episodes 10859, frames 4.816774M, mean epr -584.03, run loss 3927.18
time 04h 04m 14s, episodes 10860, frames 4.821777M, mean epr -226.88, run loss 1083.75
time 04h 04m 24s, episodes 10863, frames 4.826675M, mean epr -153.95, run loss 458.83
time 04h 04m 35s, episodes 10864, frames 4.831909M, mean epr -115.43, run loss 599.14
time 04h 04m 46s, episodes 10867, frames 4.837243M, mean epr -904.94, run loss 6732.16
time 04h 04m 56s, episodes 10867, frames 4.842099M, mean epr -904.94, run loss 6732.16
time 04h 05m 06s, episodes 10869, frames 4.846921M, mean epr -210.55, run loss 1424.04
time 04h 05m 16s, episodes 10873, frames 4.851818M, mean epr -894.86, run loss 7146.12
time 04h 05m 26s, episodes 10875, frames 4.856749M, mean epr -944.49, run loss 6011.73
time 04h 05m 36s, episodes 10876, frames 4.861617M, mean epr -921.37, run loss 6992.07
time 04h 05m 47s, episodes 10878, frames 4.866818M, mean epr -541.93, run loss 2988.19
time 04h 05m 58s, episodes 10881, frames 4.872248M, mean epr -1000.79, run loss 5387.51
time 04h 06m 08s, episodes 10883, frames 4.876737M, mean epr -919.82, run loss 5601.83
time 04h 06m 19s, episodes 10886, frames 4.881403M, mean epr -919.64, run loss 7364.75
time 04h 06m 29s, episodes 10888, frames 4.886469M, mean epr -668.78, run loss 4063.21
time 04h 06m 40s, episodes 10890, frames 4.891742M, mean epr -628.00, run loss 4655.87
time 04h 06m 52s, episodes 10891, frames 4.897231M, mean epr -545.17, run loss 3175.59
time 04h 07m 02s, episodes 10895, frames 4.901983M, mean epr -936.61, run loss 5655.73
time 04h 07m 12s, episodes 10898, frames 4.906660M, mean epr -1007.51, run loss 6125.25
time 04h 07m 22s, episodes 10899, frames 4.911723M, mean epr -720.26, run loss 4433.20
time 04h 07m 32s, episodes 10906, frames 4.918290M, mean epr -359.39, run loss 2416.40
time 04h 07m 42s, episodes 10913, frames 4.928156M, mean epr -120.35, run loss 588.98
time 04h 07m 53s, episodes 10918, frames 4.938578M, mean epr -126.60, run loss 560.37
time 04h 08m 03s, episodes 10925, frames 4.949125M, mean epr -296.02, run loss 2772.40
time 04h 08m 14s, episodes 10937, frames 4.959754M, mean epr -168.10, run loss 1484.42
time 04h 08m 14s, episodes 10942, frames 4.960754M, mean epr -160.69, run loss 1484.42 假的
time 04h 08m 24s, episodes 10948, frames 4.970033M, mean epr -153.28, run loss 944.89
time 04h 08m 34s, episodes 10956, frames 4.980654M, mean epr -402.72, run loss 2005.63
time 04h 08m 44s, episodes 10963, frames 4.991098M, mean epr -164.27, run loss 530.65

	5M frames: saved model

